# 242Pu total cross section. 
# Source: ENDF/B-VIII.0

# E / MeV	CS / barn
2.18E+00	56.793
2.18E+00	56.909
2.19E+00	58.4757
2.19E+00	59.9951
2.19E+00	60.1116
2.21E+00	63.5299
2.21E+00	63.6738
2.22E+00	67.5035
2.22E+00	67.6491
2.24E+00	71.9245
2.24E+00	72.1058
2.25E+00	74.5547
2.25E+00	76.9343
2.26E+00	77.1168
2.26E+00	80.5377
2.27E+00	81.0899
2.27E+00	82.8284
2.28E+00	85.3684
2.28E+00	85.6806
2.28E+00	87.5971
2.29E+00	89.6348
2.29E+00	90.747
2.29E+00	92.8402
2.30E+00	93.4676
2.30E+00	96.3299
2.30E+00	96.6409
2.31E+00	98.7125
2.31E+00	99.8943
2.31E+00	102.499
2.31E+00	102.594
2.32E+00	104.656
2.32E+00	105.218
2.32E+00	107.548
2.33E+00	109.552
2.33E+00	110.006
2.33E+00	112.152
2.33E+00	112.993
2.33E+00	114.299
2.34E+00	115.91
2.34E+00	117.164
2.34E+00	117.563
2.34E+00	119.356
2.34E+00	119.47
2.34E+00	120.852
2.35E+00	122.348
2.35E+00	123.845
2.35E+00	125.342
2.35E+00	126.668
2.35E+00	127.332
2.35E+00	127.995
2.36E+00	129.322
2.36E+00	130.649
2.36E+00	131.811
2.36E+00	132.974
2.36E+00	133.306
2.36E+00	134.224
2.36E+00	135.509
2.36E+00	135.509
2.36E+00	136.978
2.37E+00	138.081
2.37E+00	139.367
2.37E+00	139.551
2.37E+00	140.655
2.37E+00	141.735
2.37E+00	142.495
2.37E+00	142.799
2.37E+00	143.942
2.37E+00	145.187
2.37E+00	145.949
2.38E+00	146.482
2.38E+00	147.779
2.38E+00	149
2.38E+00	150.221
2.38E+00	151.442
2.38E+00	151.442
2.38E+00	152.772
2.38E+00	154.101
2.38E+00	155.432
2.39E+00	156.763
2.39E+00	157.206
2.39E+00	158.094
2.39E+00	158.982
2.39E+00	159.464
2.39E+00	160.911
2.39E+00	162.358
2.39E+00	163.806
2.39E+00	165.496
2.39E+00	166.704
2.39E+00	167.187
