# 242Pu total cross section. 
# Source: ENDF/B-VIII.0

# E / MeV	CS / barn
106.836	26.8297
106.839	27.8678
106.839	27.9669
106.84	28.166
106.844	29.5963
106.845	29.8597
106.847	30.468
106.849	31.2435
106.851	32.0419
106.853	33.0019
106.854	33.2477
106.856	34.2315
106.857	34.4214
106.861	36.3472
106.861	36.3476
106.863	37.1708
106.866	38.6159
106.867	39.1376
106.87	40.2541
106.87	40.7248
106.873	42.1763
106.875	42.9823
106.876	43.6457
106.879	45.5632
106.88	45.9224
106.882	46.9989
106.884	48.3144
106.885	49.2846
106.888	50.6424
106.889	51.8628
106.891	53.1227
106.894	54.8027
106.894	55.2435
106.897	57.5112
106.899	58.7026
106.9	59.3462
106.903	62.0387
106.905	63.2627
106.905	63.7679
106.909	66.9381
106.91	67.4655
106.911	69.0947
106.914	71.3678
106.915	72.534
106.917	74.8644
106.918	75.4773
106.921	78.1551
106.924	81.1466
106.925	82.445
106.928	86.1794
106.928	86.5284
106.93	88.6253
106.933	92.2625
106.935	93.7647
106.936	96.0168
106.939	99.5483
106.941	101.577
106.943	104.825
106.946	108.23
106.947	109.771
106.95	115.266
106.951	116.188
106.953	118.56
106.956	124.726
106.957	125.706
106.96	129.784
106.963	134.88
106.963	135.934
106.966	140.309
106.969	145.773
106.969	146.903
106.972	151.581
106.974	156.257
106.975	158.662
106.978	163.649
106.98	167.388
106.982	171.231
106.984	176.541
106.985	179.194
106.988	184.646
106.99	190.289
106.991	191.697
106.994	198.969
106.996	204.983
106.998	209.489
107	214.148
107.004	226.266
107.005	228.758
107.009	238.737
107.011	243.965
107.014	254.718
107.017	263.679
107.018	265.524
107.024	282.887
107.025	286.746
107.027	294.693
107.032	311.321
107.033	314.956
107.037	330.139
107.04	337.739
107.044	352.903
107.047	366.002
107.048	368.597
107.054	393.76
107.055	395.953
107.062	427.516
107.063	433.204
107.063	433.205
107.071	467.786
107.072	472.722
107.08	510.42
107.081	514.477
107.081	514.478
107.093	573.674
107.094	578.749
107.095	583.837
107.104	636.483
107.108	658.155
107.109	663.572
107.119	719.395
107.123	742.365
107.124	748.111
107.137	824.671
107.141	854.85
107.143	866.926
107.16	970.937
107.193	1180.68
107.201	1228.47
107.213	1298.31
107.219	1337.39
107.227	1378.83
107.235	1421.06
107.243	1462.73
107.25	1491.34
107.259	1531.38
107.265	1555.7
107.271	1575.24
107.277	1595.32
107.283	1611.24
107.289	1627.03
107.294	1639.07
107.3	1650.32
107.306	1658.24
107.313	1665.24
107.32	1669.61
107.324	1670.45
107.331	1669.83
107.332	1669.44
107.343	1659.68
107.345	1657.87
107.354	1643.77
107.359	1633.05
107.365	1618.26
107.37	1605.5
107.379	1576.44
107.384	1560.29
107.392	1529.83
107.396	1512.13
107.407	1466.18
107.411	1445.9
107.42	1400.7
107.428	1356.58
107.433	1329.64
107.449	1240.15
107.453	1217.09
107.487	1009.01
107.504	901.71
107.511	860.947
107.522	797.37
107.532	738.377
107.537	711.319
107.547	661.475
107.55	646.154
107.561	589.309
107.562	584.512
107.572	536.394
107.573	530.765
107.58	500.176
107.584	484.244
107.588	465.698
107.594	440.7
107.596	432.96
107.604	402.029
107.605	400.213
107.612	373.088
107.615	362.941
107.62	345.854
107.626	328.587
107.628	320.298
107.636	297.118
107.637	293.98
107.644	275.364
107.644	273.905
107.652	255.148
107.652	255.147
107.659	237.744
107.661	233.557
107.666	221.518
107.67	213.801
107.674	206.414
107.679	195.774
107.681	192.384
107.688	179.374
107.688	179.374
107.696	167.469
107.698	164.616
107.703	156.462
107.707	151.257
107.71	146.303
107.716	139.165
107.716	138.411
107.723	131.148
107.725	128.35
107.729	124.362
107.734	118.605
107.735	117.999
107.741	112.157
107.743	109.909
107.747	106.71
107.752	102.097
107.753	101.611
107.759	96.9406
107.762	95.1432
107.765	92.5901
107.771	88.9093
107.771	88.522
107.777	84.8001
107.78	83.3681
107.784	81.3362
107.789	78.4052
107.79	78.0969
107.796	75.1347
107.798	73.9945
107.802	72.3904
107.808	69.8203
107.81	68.833
107.815	67.0006
107.823	64.3747
107.823	64.3746
107.83	62.0404
107.835	60.5509
107.837	59.8576
107.845	57.8669
107.847	57.2306
107.852	56.0447
107.859	54.3384
107.859	54.3383
107.866	52.8085
107.871	51.8272
107.874	51.375
107.881	50.0707
107.888	48.8129
107.89	48.6118
107.899	47.1523
107.908	45.9372
107.91	45.6195
107.921	44.257
107.926	43.6781
107.934	42.8801
107.945	41.7376
107.946	41.563
107.959	40.3967
107.969	39.5429
107.972	39.2997
107.985	38.3173
107.993	37.6809
107.993	37.6809
108.01	36.5492
108.018	36.0826
108.027	35.5174
108.045	34.564
108.054	34.0364
108.062	33.6802
108.078	32.9029
108.091	32.3145
108.095	32.1617
108.117	31.2725
108.128	30.8415
108.138	30.4473
108.16	29.6824
108.164	29.5583
108.182	28.9952
108.204	28.3373
108.213	28.0876
108.226	27.7364
108.251	27.114
108.269	26.659
108.278	26.4701
108.304	25.8923
108.331	25.3285
108.332	25.3034
108.358	24.8354
108.385	24.356
108.396	24.1639
108.412	23.915
108.439	23.5026
108.459	23.1903
108.469	23.0591
108.503	22.6108
108.537	22.1723
108.54	22.1416
108.572	21.7923
108.606	21.4239
108.637	21.0882
108.64	21.0656
108.674	20.7555
108.708	20.451
108.735	20.2158
108.747	20.1215
108.791	19.7889
108.833	19.4807
108.835	19.465
108.879	19.1878
108.923	18.9155
108.967	18.6477
108.979	18.5744
109.011	18.4124
109.055	18.1915
109.103	17.9499
109.125	17.8428
109.157	17.7094
109.211	17.4876
109.264	17.2691
109.272	17.2397
109.318	17.0782
109.372	16.8939
109.425	16.712
109.428	16.7039
109.506	16.4832
109.574	16.2934
109.643	16.1062
109.662	16.0534
109.711	15.9435
109.779	15.7916
109.847	15.6416
109.896	15.5356
109.916	15.5004
109.984	15.3785
110.052	15.258
110.14	15.1048
110.189	15.0206
110.228	14.9648
110.316	14.8408
110.404	14.7181
110.482	14.6102
110.492	14.599
110.579	14.5
110.667	14.402
110.755	14.3048
110.853	14.1978
110.872	14.1766
110.95	14.1071
111.048	14.0211
111.194	13.8934
111.262	13.8344
111.341	13.7792
111.487	13.6767
111.602	13.5969
111.734	13.5057
111.742	13.5005
111.867	13.4315
111.999	13.3588
112.132	13.2867
112.264	13.2149
112.311	13.1898
112.463	13.1261
112.668	13.041
112.814	12.981
113.032	12.8916
113.178	12.8324
113.251	12.8087
113.469	12.738
113.688	12.6677
113.761	12.6444
113.907	12.6068
114.127	12.5508
114.346	12.4951
114.566	12.4396
114.785	12.3844
114.932	12.3478
115.081	12.3186
115.379	12.2607
115.678	12.203
115.976	12.1456
116.125	12.1171
116.293	12.0918
116.629	12.0416
116.965	11.9916
117.301	11.9418
117.619	11.8949
118.069	11.8286
118.519	11.7774
118.989	11.7241
119.469	11.6699
119.949	11.616
120.418	11.5634
120.888	11.5109
121.259	11.4696
121.317	11.4632
121.432	11.4504
121.77	11.4129
121.878	11.401
121.912	11.3973
122.111	11.3749
122.324	11.351
122.452	11.3368
122.783	11.2997
123.106	11.2638
123.429	11.228
123.752	11.1923
124.063	11.1581
124.363	11.1253
124.663	11.0927
124.964	11.0603
125.114	11.0442
125.195	11.0321
125.44	10.9961
125.684	10.9603
125.929	10.9248
126.173	10.8896
126.336	10.8664
126.491	10.8445
126.639	10.8239
126.712	10.8137
126.786	10.799
126.86	10.7845
126.933	10.77
127.007	10.7556
127.081	10.7413
127.154	10.727
127.228	10.7128
127.301	10.6988
127.375	10.6847
127.449	10.6709
127.522	10.6571
127.596	10.6435
127.648	10.6299
127.753	10.6031
127.858	10.5766
127.963	10.5504
128.068	10.5247
128.172	10.4993
128.225	10.4869
128.277	10.469
128.382	10.4338
128.474	10.4032
128.555	10.3771
128.636	10.3514
128.716	10.3264
128.789	10.3044
128.797	10.3008
128.877	10.2662
128.958	10.2324
129.039	10.1995
129.111	10.1708
129.143	10.1584
129.176	10.1411
129.24	10.1074
129.305	10.0747
129.369	10.0432
129.434	10.0128
129.434	10.0128
129.498	9.97023
129.562	9.92928
129.617	9.89621
129.683	9.85793
129.724	9.83609
129.728	9.83291
129.772	9.7993
129.816	9.76721
129.861	9.73682
129.885	9.7213
129.905	9.70321
129.949	9.6656
129.986	9.63667
130.022	9.60958
130.046	9.59291
130.058	9.58024
130.094	9.54455
130.131	9.51149
130.167	9.48141
130.203	9.45472
130.207	9.45218
130.239	9.41758
130.268	9.39035
130.296	9.36613
130.324	9.34528
130.328	9.34285
130.352	9.31647
130.381	9.29001
130.409	9.26848
130.429	9.25714
130.437	9.248
130.465	9.22251
130.487	9.20777
130.509	9.19838
130.52	9.19689
130.532	9.18799
130.554	9.17879
130.576	9.17794
130.58	9.17959
130.598	9.17553
130.615	9.17961
130.631	9.19166
130.642	9.20486
130.651	9.21913
130.661	9.23103
130.674	9.25723
130.688	9.29388
130.691	9.3048
130.701	9.3385
130.715	9.39677
130.729	9.47307
130.738	9.53579
130.747	9.60954
130.756	9.69585
130.765	9.79651
130.774	9.91353
130.783	10.0492
130.792	10.1969
130.792	10.1969
130.8	10.3614
130.808	10.5473
130.816	10.7573
130.822	10.9351
130.824	10.9967
130.832	11.2735
130.84	11.5841
130.842	11.6712
130.848	11.9422
130.856	12.3456
130.862	12.6788
130.862	12.6788
130.868	13.0505
130.872	13.319
130.874	13.457
130.88	13.9041
130.886	14.3873
130.887	14.4743
130.892	14.9231
130.898	15.5037
130.902	15.9208
130.904	16.1362
130.91	16.8311
130.916	17.5777
130.917	17.7117
130.922	18.3978
130.928	19.1338
130.929	19.2844
130.935	20.252
130.939	20.9423
130.941	21.2949
130.947	22.4253
130.948	22.6266
130.953	23.6516
130.957	24.5261
130.959	24.9719
130.965	26.3956
130.966	26.6485
130.971	27.9348
130.975	29.0285
130.977	29.5856
130.983	31.3594
130.984	31.6729
130.989	33.2688
130.993	34.621
130.995	35.3096
131.001	37.4934
131.002	37.8784
131.007	39.8353
131.011	41.5039
131.015	43.3082
131.02	45.4599
131.022	46.3814
131.029	49.6737
131.029	49.802
131.036	53.2048
131.037	53.7572
131.043	56.9769
131.044	58.0089
131.049	60.9979
131.052	62.5836
131.058	66.7594
131.059	67.4445
131.067	72.6498
131.068	73.0012
131.075	78.2326
131.077	79.7463
131.082	84.1582
131.086	86.9991
131.09	90.4212
131.094	93.8911
131.1	99.3432
131.102	101.189
131.11	108.986
131.114	112.945
131.12	119.779
131.126	125.646
131.131	131.282
131.138	139.281
131.142	143.484
131.15	153.818
131.152	156.362
131.163	169.737
131.163	169.872
131.175	185.964
131.175	186.511
131.187	203.855
131.194	213.061
131.205	229.494
131.224	258.512
131.226	260.941
131.258	309.95
131.278	339.38
131.287	351.527
131.298	366.782
131.31	380.736
131.315	387.331
131.327	400.322
131.331	404.406
131.343	415.797
131.346	417.828
131.36	428.272
131.361	428.84
131.374	436.322
131.376	437.089
131.387	441.138
131.39	441.712
131.4	443.393
131.405	443.462
131.414	443.25
131.417	442.751
131.43	439.764
131.432	438.995
131.444	433.662
131.455	426.622
131.457	425.676
131.47	415.731
131.472	413.308
131.487	399.277
131.489	396.891
131.502	382.322
131.505	379.146
131.519	361.369
131.521	359.223
131.537	337.364
131.541	331.799
131.563	300.364
131.599	247.824
131.604	240.93
131.616	222.842
131.634	198.814
131.634	198.285
131.648	180.504
131.652	175.526
131.662	163.225
131.672	151.514
131.672	150.936
131.683	139.366
131.687	135.184
131.695	127.458
131.702	120.131
131.704	118.689
131.713	110.46
131.717	106.553
131.722	102.719
131.731	95.4588
131.732	94.3155
131.74	88.7174
131.748	83.4412
131.749	82.4094
131.758	76.5914
131.763	73.8439
131.765	72.2056
131.774	67.5624
131.778	65.4441
131.782	63.254
131.79	59.2637
131.793	58.1295
131.799	55.5839
131.803	53.8231
131.807	52.2079
131.815	49.0949
131.819	47.7732
131.824	46.241
131.829	44.4753
131.835	42.7899
131.835	42.6438
131.84	41.2353
131.846	39.7588
131.851	38.3517
131.851	38.3513
131.858	36.7209
131.865	35.1893
131.867	34.7779
131.872	33.7908
131.88	32.4943
131.884	31.7984
131.887	31.298
131.894	30.2034
131.9	29.3229
131.901	29.1822
131.908	28.2598
131.915	27.3943
131.916	27.2781
131.922	26.6123
131.929	25.8835
131.932	25.59
131.936	25.2181
131.943	24.6072
131.95	24.0329
131.952	23.8783
131.957	23.514
131.964	23.0343
131.972	22.5194
131.972	22.5194
131.98	22.0711
131.988	21.6514
131.996	21.2573
132.002	20.9788
132.004	20.8937
132.013	20.5736
132.021	20.2716
132.029	19.9857
132.033	19.8499
132.037	19.7267
132.045	19.4929
132.057	19.1631
132.069	18.8548
132.073	18.758
132.081	18.5842
132.093	18.3388
132.108	18.0497
132.113	17.9588
132.123	17.7973
132.138	17.5684
132.154	17.3508
132.169	17.1424
132.174	17.0756
132.184	16.9582
132.204	16.7337
132.224	16.519
132.234	16.4159
132.244	16.3237
132.267	16.1204
132.293	15.9084
132.294	15.9008
132.32	15.7123
132.346	15.5309
132.369	15.3759
132.372	15.3584
132.398	15.2123
132.425	15.0709
132.451	14.9337
132.48	14.7849
132.484	14.7649
132.512	14.6438
132.544	14.5096
132.561	14.4444
132.577	14.3882
132.609	14.2792
132.641	14.1731
132.673	14.0697
132.706	13.9685
132.722	13.919
132.742	13.8679
132.782	13.7684
132.822	13.6715
132.863	13.5768
132.883	13.5304
132.903	13.4919
132.943	13.4166
132.984	13.3429
133.044	13.235
133.076	13.1788
133.096	13.1495
133.149	13.0751
133.201	13.0024
133.254	12.9309
133.27	12.9094
133.306	12.87
133.358	12.8142
133.411	12.7594
133.463	12.7054
133.532	12.636
133.592	12.5758
133.6	12.5695
133.669	12.5165
133.737	12.4643
133.806	12.413
133.874	12.3624
133.914	12.3331
133.943	12.3171
134.011	12.2789
134.104	12.228
134.197	12.178
134.289	12.1286
134.382	12.0799
134.446	12.0464
134.475	12.0355
134.567	12.0003
134.66	11.9654
134.753	11.931
134.878	11.8849
135.004	11.8393
135.129	11.7941
135.141	11.7899
135.255	11.758
135.38	11.7232
135.506	11.6887
135.631	11.6545
135.659	11.6471
135.757	11.6262
135.917	11.5923
136.078	11.5588
136.239	11.5255
136.399	11.4924
136.56	11.4596
136.64	11.4433
136.801	11.4106
136.88	11.3946
136.881	11.3945
137.041	11.37
137.123	11.3577
137.287	11.3329
137.369	11.3207
137.533	11.2961
137.615	11.2839
137.778	11.2596
137.86	11.2474
138.024	11.2232
138.269	11.1871
138.351	11.1751
138.49	11.1548
138.639	11.1331
138.699	11.1245
138.907	11.0943
138.927	11.0914
139.102	11.0663
139.215	11.0501
139.296	11.0385
139.37	11.028
139.49	11.0129
139.503	11.0113
139.62	10.9967
139.75	10.9807
139.834	10.9704
139.879	10.9649
139.977	10.9531
140.076	10.9414
140.143	10.9338
140.165	10.9313
140.209	10.9264
140.275	10.9191
140.341	10.9122
140.391	10.9072
140.44	10.9024
140.473	10.8995
140.496	10.8976
140.512	10.8962
140.551	10.8933
140.58	10.8914
140.609	10.8898
140.628	10.889
140.647	10.8884
140.667	10.8882
140.686	10.8884
140.7	10.8889
140.715	10.8898
140.729	10.8912
140.739	10.8925
140.749	10.894
140.758	10.896
140.768	10.8983
140.777	10.9012
140.788	10.9048
140.796	10.9083
140.804	10.9123
140.813	10.917
140.821	10.9223
140.829	10.9284
140.837	10.9353
140.846	10.9433
140.848	10.9463
140.854	10.9523
140.862	10.9625
140.871	10.974
140.879	10.9871
140.887	11.0017
140.893	11.0125
140.898	11.0241
140.904	11.0367
140.909	11.0502
140.915	11.0647
140.92	11.0804
140.926	11.0972
140.931	11.1152
140.937	11.1346
140.942	11.1553
140.951	11.1891
140.959	11.2264
140.966	11.2604
140.973	11.2972
140.979	11.3369
140.986	11.3797
140.993	11.4259
141	11.4754
141.007	11.5287
141.014	11.5856
141.021	11.6466
141.028	11.7116
141.035	11.781
141.042	11.8547
141.048	11.933
141.059	12.0592
141.069	12.1963
141.079	12.3344
141.088	12.4824
141.098	12.6405
141.108	12.8086
141.117	12.9867
141.127	13.1747
141.141	13.4744
141.157	13.8098
141.174	14.2145
141.195	14.7268
141.196	14.7623
141.253	16.2398
141.276	16.8064
141.285	17.005
141.295	17.2157
141.311	17.5395
141.328	17.849
141.343	18.057
141.359	18.2475
141.375	18.3688
141.389	18.4263
141.4	18.4377
141.416	18.4032
141.432	18.3079
141.446	18.1757
141.457	18.0317
141.472	17.8177
141.489	17.501
141.505	17.171
141.524	16.7554
141.542	16.2911
141.547	16.1818
141.607	14.6178
141.628	14.1022
141.645	13.6952
141.657	13.4178
141.671	13.1337
141.684	12.8679
141.693	12.7013
141.702	12.5432
141.711	12.3939
141.72	12.2532
141.73	12.1014
141.741	11.9608
141.751	11.8311
141.758	11.7505
141.765	11.6744
141.772	11.6028
141.778	11.5354
141.785	11.4721
141.792	11.4127
141.799	11.3572
141.806	11.3053
141.813	11.2568
141.82	11.2116
141.827	11.1696
141.833	11.1333
141.839	11.1021
141.845	11.0728
141.851	11.0454
141.857	11.0197
141.858	11.0148
141.862	10.9957
141.868	10.9732
141.874	10.9521
141.88	10.9325
141.886	10.9142
141.892	10.8971
141.898	10.8812
141.903	10.8663
141.909	10.8524
141.915	10.8395
141.921	10.8275
141.927	10.8163
141.933	10.8059
141.939	10.7962
141.947	10.7828
141.956	10.7708
141.965	10.76
141.974	10.7503
141.983	10.7415
141.991	10.7335
142	10.7262
142.009	10.7197
142.018	10.7136
142.027	10.7076
142.037	10.7021
142.047	10.6971
142.056	10.6924
142.071	10.6861
142.085	10.6803
142.1	10.6751
142.114	10.6702
142.134	10.6643
142.15	10.6595
142.153	10.6588
142.172	10.6536
142.201	10.6462
142.23	10.6393
142.269	10.6305
142.307	10.6221
142.36	10.6111
142.409	10.6011
142.459	10.5913
142.481	10.587
142.525	10.5786
142.591	10.5661
142.691	10.5479
142.718	10.5429
142.79	10.53
142.897	10.5109
142.972	10.4978
143.021	10.4891
143.145	10.4677
143.209	10.4568
143.225	10.4533
143.27	10.4439
143.435	10.4088
143.479	10.3995
143.6	10.374
143.689	10.3555
143.766	10.3395
143.931	10.3053
143.939	10.3036
144.097	10.2713
144.099	10.2708
144.106	10.2689
144.259	10.2281
144.273	10.2243
144.417	10.1859
144.44	10.18
144.576	10.1441
144.606	10.1361
144.734	10.1025
144.773	10.0925
144.893	10.0614
144.94	10.0494
145.05	10.0211
145.052	10.0205
145.13	9.99434
145.21	9.96739
145.256	9.95208
145.369	9.91479
145.383	9.91014
145.502	9.87104
145.509	9.86863
145.573	9.84797
145.636	9.822
145.664	9.81037
145.763	9.77012
145.772	9.76616
145.88	9.72237
145.889	9.71885
145.988	9.67904
145.997	9.67548
146.096	9.63625
146.096	9.63625
146.133	9.61827
146.205	9.5823
146.268	9.55123
146.313	9.52903
146.358	9.50713
146.403	9.48523
146.448	9.46362
146.466	9.45498
146.493	9.43855
146.538	9.41151
146.583	9.38446
146.628	9.35779
146.673	9.33112
146.714	9.30748
146.763	9.2786
146.795	9.26055
146.835	9.23735
146.853	9.22434
146.876	9.20834
146.943	9.16035
146.957	9.15093
147.033	9.09759
147.038	9.09451
147.099	9.05299
147.105	9.04723
147.119	9.03589
147.178	8.98677
147.2	8.96822
147.25	8.92743
147.281	8.90202
147.322	8.86936
147.351	8.84635
147.362	8.8375
147.394	8.80595
147.439	8.7619
147.466	8.73547
147.497	8.70544
147.538	8.66684
147.556	8.65021
147.596	8.6128
147.61	8.59717
147.614	8.59211
147.673	8.52639
147.684	8.51376
147.732	8.4626
147.759	8.43337
147.772	8.41928
147.79	8.39576
147.808	8.37224
147.858	8.30932
147.858	8.30932
147.907	8.24836
147.925	8.22699
147.948	8.20028
147.957	8.18679
147.97	8.16723
148.006	8.11507
148.015	8.1026
148.06	8.04026
148.067	8.03091
148.096	7.99233
148.105	7.97732
148.108	7.97356
148.148	7.90844
148.151	7.90497
148.189	7.84604
148.191	7.84274
148.229	7.78668
148.232	7.78358
148.232	7.78358
148.27	7.71763
148.272	7.71397
148.31	7.65169
148.313	7.64826
148.322	7.63455
148.349	7.58445
148.353	7.5766
148.385	7.52169
148.394	7.5071
148.412	7.47794
148.421	7.45979
148.434	7.43445
148.457	7.39223
148.475	7.3613
148.493	7.33037
148.502	7.31653
148.506	7.30749
148.529	7.26224
148.538	7.24602
148.565	7.19735
148.569	7.19033
148.592	7.15521
148.601	7.13675
148.601	7.13675
148.632	7.08038
148.632	7.08038
148.659	7.03914
148.659	7.03914
148.664	7.03131
148.687	6.99217
148.696	6.97935
148.714	6.95373
148.719	6.94776
148.727	6.93941
148.741	6.91776
148.75	6.90713
148.768	6.88588
148.772	6.88281
148.795	6.86748
148.795	6.86748
148.815	6.85304
148.817	6.8526
148.835	6.84911
148.84	6.85114
148.858	6.8593
148.862	6.86452
148.875	6.87587
148.879	6.88324
148.891	6.90353
148.896	6.91476
148.908	6.94566
148.912	6.95953
148.925	7.00512
148.928	7.01585
148.942	7.0856
148.943	7.08914
148.952	7.1493
148.958	7.18842
148.959	7.19625
148.97	7.29167
148.973	7.3196
148.975	7.33634
148.982	7.40928
148.983	7.43034
148.993	7.54966
148.993	7.55778
148.997	7.61455
149.004	7.71137
149.004	7.72016
149.014	7.89138
149.014	7.90145
149.015	7.9233
149.024	8.11018
149.027	8.18492
149.031	8.28487
149.034	8.36024
149.038	8.47332
149.039	8.49695
149.044	8.65457
149.047	8.74211
149.048	8.78033
149.054	9.00162
149.055	9.02174
149.059	9.19677
149.063	9.3359
149.064	9.41133
149.071	9.68797
149.071	9.68798
149.073	9.83138
149.078	10.0895
149.079	10.1207
149.081	10.2505
149.086	10.5426
149.087	10.6128
149.089	10.7224
149.094	11.0511
149.094	11.0511
149.097	11.2554
149.101	11.5414
149.102	11.6263
149.105	11.8546
149.108	12.0829
149.11	12.2724
149.113	12.5274
149.114	12.6802
149.118	12.9974
149.121	13.2817
149.121	13.3385
149.126	13.8098
149.128	14.063
149.129	14.1286
149.134	14.7188
149.135	14.8596
149.136	15.0783
149.141	15.7343
149.141	15.7344
149.144	16.1373
149.148	16.701
149.148	16.701
149.152	17.3203
149.155	17.7625
149.155	17.7625
149.16	18.6359
149.162	18.927
149.162	18.9271
149.168	20.0968
149.168	20.203
149.168	20.203
149.175	21.5998
149.175	21.5999
149.176	21.7271
149.182	23.1267
149.182	23.1269
149.184	23.5437
149.189	24.7942
149.189	24.7944
149.192	25.5519
149.196	26.6126
149.196	26.6129
149.199	27.5189
149.201	28.3428
149.202	28.5974
149.205	29.4006
149.207	30.2038
149.209	30.7553
149.211	31.4314
149.213	32.2042
149.216	33.0989
149.217	33.6208
149.219	34.3516
149.223	35.6404
149.223	35.9788
149.225	36.6552
149.229	38.3937
149.23	38.5154
149.231	39.1231
149.236	41.2468
149.236	41.3715
149.237	41.7647
149.242	44.185
149.243	44.5883
149.243	44.5884
149.248	47.3357
149.249	47.6251
149.25	48.0698
149.254	50.7176
149.255	50.873
149.257	52.3147
149.261	54.3331
149.261	54.8372
149.265	56.9109
149.267	58.18
149.267	58.3611
149.272	61.889
149.273	62.0835
149.273	62.2828
149.278	66.0678
149.28	67.292
149.282	68.9993
149.284	70.2801
149.288	73.1203
149.29	74.7184
149.292	76.3626
149.295	79.4165
149.298	81.8681
149.298	82.1208
149.303	86.1551
149.304	86.9415
149.306	88.8278
149.31	93.4032
149.31	93.4037
149.313	95.9927
149.317	100.305
149.318	101.192
149.32	103.645
149.324	107.631
149.326	109.525
149.328	111.829
149.333	118.081
149.335	120.46
149.335	120.461
149.342	129.32
149.342	129.684
149.343	131.14
149.349	138.328
149.352	142.61
149.353	144.627
149.359	152.703
149.36	154.781
149.362	156.933
149.367	164.68
149.369	167.771
149.373	174.615
149.375	178.268
149.377	181.556
149.384	193.692
149.386	196.604
149.386	197.604
149.394	212.093
149.395	214.164
149.397	217.35
149.405	233.319
149.406	233.884
149.408	239.533
149.416	255.906
149.417	257.11
149.42	263.12
149.429	284.328
149.43	285.611
149.435	298.431
149.443	315.737
149.447	325.293
149.451	336.218
149.457	350.349
149.466	373.499
149.471	387.105
149.473	391.58
149.49	438.516
149.491	440.949
149.495	450.902
149.52	521.573
149.549	602.842
149.549	602.847
149.56	634.997
149.567	651.937
149.567	651.939
149.585	698.628
149.585	698.631
149.602	739.674
149.603	741.271
149.606	749.248
149.618	774.064
149.619	775.108
149.621	779.317
149.633	802.394
149.634	803.052
149.639	812.587
149.647	824.614
149.648	825.706
149.655	834.24
149.664	845.194
149.665	846.037
149.672	852.81
149.68	859.04
149.681	860.172
149.686	862.955
149.693	865.496
149.697	867.354
149.7	868.056
149.7	868.078
149.701	868.242
149.713	868.36
149.714	868.263
149.716	867.627
149.719	866.842
149.726	864.17
149.729	862.542
149.732	860.506
149.74	855
149.743	852.489
149.744	851.861
149.752	843.958
149.755	840.63
149.758	837.3
149.765	827.956
149.769	821.591
149.774	814.56
149.781	802.491
149.786	793.51
149.79	786.853
149.796	775.814
149.803	762.177
149.805	758.398
149.814	739.131
149.821	722.643
149.821	722.642
149.834	690.422
149.839	679.177
149.841	672.182
149.859	627.876
149.866	608.818
149.871	594.19
149.916	474.103
149.917	471.055
149.932	431.047
149.935	422.621
149.939	413.324
149.955	373.429
149.955	373.288
149.957	367.795
149.969	339.308
149.971	335.333
149.972	333.392
149.981	312.832
149.986	300.995
149.987	299.794
149.993	287.541
149.997	278.205
150.003	266.968
150.005	263.708
150.011	251.757
150.016	241.299
150.019	236.593
150.02	235.07
150.024	227.224
150.029	219.372
150.03	217.475
150.034	210.098
150.038	204.563
150.041	199.221
150.045	194.041
150.047	190.585
150.052	182.264
150.055	179.041
150.056	177.429
150.064	166.576
150.065	165.078
150.065	165.077
150.072	155.382
150.075	152.152
150.075	152.152
150.08	146.178
150.083	142.196
150.086	139.006
150.088	137.471
150.092	132.866
150.095	129.329
150.098	126.972
150.1	124.138
150.103	121.694
150.109	115.992
150.109	115.992
150.112	113.502
150.117	108.52
150.121	105.421
150.121	105.183
150.126	101.53
150.13	98.0386
150.131	97.165
150.134	95.0675
150.136	93.4657
150.141	89.8615
150.143	89.0922
150.143	89.0918
150.149	85.0573
150.151	83.59
150.152	83.2397
150.155	81.2288
150.159	78.5467
150.161	77.584
150.162	77.2631
150.167	74.5007
150.167	74.2065
150.172	71.852
150.174	71.0075
150.174	70.726
150.18	68.0295
150.181	67.22
150.182	66.9616
150.186	65.2337
150.189	63.9995
150.192	62.5809
150.192	62.5804
150.196	61.0004
150.198	60.1365
150.202	58.6239
150.203	58.2146
150.204	57.8237
150.211	55.6703
150.212	55.1085
150.216	53.9843
150.218	53.2795
150.22	52.6054
150.225	51.0888
150.228	50.2822
150.233	49.0636
150.236	48.1894
150.239	47.315
150.24	47.177
150.244	46.2531
150.247	45.4615
150.251	44.7031
150.252	44.4672
150.255	43.8771
150.26	42.8614
150.262	42.4101
150.268	41.3291
150.268	41.329
150.269	41.0303
150.275	39.9827
150.277	39.7925
150.283	38.6956
150.283	38.6955
150.284	38.5194
150.29	37.7104
150.291	37.5537
150.295	37.0841
150.299	36.4806
150.301	36.1789
150.304	35.9008
150.307	35.5045
150.313	34.8442
150.315	34.5924
150.318	34.2147
150.322	33.8664
150.323	33.7557
150.331	32.9815
150.331	32.9815
150.335	32.5586
150.34	32.1725
150.34	32.1725
150.349	31.4352
150.349	31.4351
150.358	30.7287
150.358	30.7287
150.358	30.7287
150.367	30.116
150.367	30.1159
150.376	29.5274
150.376	29.5274
150.38	29.2439
150.385	28.9862
150.385	28.9861
150.394	28.4896
150.394	28.4896
150.403	28.0138
150.407	27.8
150.407	27.8
150.421	27.1906
150.421	27.1905
150.432	26.7031
150.434	26.6088
150.436	26.5145
150.443	26.2637
150.448	26.1031
150.46	25.6617
150.461	25.6232
150.47	25.3157
150.475	25.1795
